Commune,Niveau,Détails
Saint-Lumier-en-Champagne (51300),Alerte,zone : Affluent crayeux Marne et Aisne-Aval_zone_2 (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Dampierre-le-Château (51330),Alerte,zone : Affluent crayeux Marne et Aisne-Aval_zone_2 (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Dampierre-le-Château (51330),Alerte,zone : Craie de Champagne Nord (eaux souterraines)<br>arrêté valable du 22/07/2022 au 31/10/2022
Soudé (51320),Alerte,zone : Affluent crayeux Marne et Aisne-Aval_zone_2 (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Somme-Vesle (51460),Alerte,zone : Affluent crayeux Marne et Aisne-Aval_zone_2 (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Somme-Vesle (51460),Alerte,zone : Craie de Champagne Nord (eaux souterraines)<br>arrêté valable du 22/07/2022 au 31/10/2022
Vatry (51320),Alerte,zone : Affluent crayeux Marne et Aisne-Aval_zone_2 (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Saint-Quentin-sur-Coole (51240),Alerte,zone : Affluent crayeux Marne et Aisne-Aval_zone_2 (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Taissy (51500),Alerte,zone : Affluent crayeux Marne et Aisne-Aval_zone_2 (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Taissy (51500),Alerte,zone : Craie de Champagne Nord (eaux souterraines)<br>arrêté valable du 22/07/2022 au 31/10/2022
Prouilly (51140),Alerte,zone : Affluent crayeux Marne et Aisne-Aval_zone_2 (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Prouilly (51140),Alerte,zone : Affluent crayeux Marne et Aisne-Aval_zone_4 (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Prouilly (51140),Alerte,zone : Craie de Champagne Nord (eaux souterraines)<br>arrêté valable du 22/07/2022 au 31/10/2022
Saint-Hilaire-le-Petit (51490),Alerte,zone : Affluent crayeux Marne et Aisne-Aval_zone_2 (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Saint-Hilaire-le-Petit (51490),Alerte,zone : Craie de Champagne Nord (eaux souterraines)<br>arrêté valable du 22/07/2022 au 31/10/2022
