Commune,Niveau,Détails
Dirac (16410),Alerte,zone : OUGC Karst /  Zone d'alerte : Échelle-Lèche (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Douzat (16290),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Douzat (16290),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Nouère (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Empuré (16240),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Aume-Couture (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Empuré (16240),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Bief (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Eymouthiers (16220),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Bandiat (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Eymouthiers (16220),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Tardoire (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Feuillade (16380),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Bandiat (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Fleurac (16200),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Fléac (16730),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Fléac (16730),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Nouère (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Fouqueure (16140),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Aume-Couture (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Foussignac (16200),Crise,zone : OUGC Saintonge /  Zone d'alerte : L'Antenne (eaux superficielles)<br>arrêté valable du 27/07/2022 au 31/10/2022
Foussignac (16200),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Garat (16410),Alerte,zone : OUGC Karst /  Zone d'alerte : Échelle-Lèche (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Genac-Bignac (16170),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Nouère (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Gensac-la-Pallue (16130),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Genté (16130),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Genté (16130),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Gimeux (16130),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Gond-Pontouvre (16160),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Argence (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Gond-Pontouvre (16160),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Grassac (16380),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Bandiat (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Grassac (16380),Alerte,zone : OUGC Karst /  Zone d'alerte : Échelle-Lèche (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Graves-Saint-Amant (16120),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Guimps (16300),Alerte,zone : OUGC Saintonge /  Zone d'alerte : Seugne (eaux superficielles)<br>arrêté valable du 27/07/2022 au 31/10/2022
Guimps (16300),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Guizengeard (16480),Alerte renforcée,"zone : OUGC Isle-Dronne /  Zone d'alerte : Lary, Pousonne, Palais (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022"
Gurat (16320),Crise,zone : OUGC Isle-Dronne /  Zone d'alerte : La Tude (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022
Hiersac (16290),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Hiersac (16290),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Nouère (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Hiesse (16490),Crise,zone : OUGC Clain /  Zone d'alerte : Clain-Amont (eaux superficielles)<br>arrêté valable du 13/07/2022 au 31/10/2022
Houlette (16200),Crise,zone : OUGC Saintonge /  Zone d'alerte : L'Antenne (eaux superficielles)<br>arrêté valable du 27/07/2022 au 31/10/2022
Jarnac (16200),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Jauldes (16560),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Tardoire (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Jauldes (16560),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Argence (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Javrezac (16100),Crise,zone : OUGC Saintonge /  Zone d'alerte : L'Antenne (eaux superficielles)<br>arrêté valable du 27/07/2022 au 31/10/2022
Juignac (16190),Crise,zone : OUGC Isle-Dronne /  Zone d'alerte : La Tude (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022
Juignac (16190),Crise,zone : OUGC Isle-Dronne /  Zone d'alerte : L'Auzonne (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022
Juillac-le-Coq (16130),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
