Commune,Niveau,Détails
Cormot-Vauchignon (21340),Vigilance,"zone : Dheune, Avant Dheune (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Corpeau (21190),Vigilance,"zone : Dheune, Avant Dheune (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Corpoyer-la-Chapelle (21150),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Corrombles (21460),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Corsaint (21460),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Couchey (21160),Vigilance,"zone : Vouge, Biètre, Cent-Fonts (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Coulmier-le-Sec (21400),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Courban (21520),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Courcelles-Frémoy (21460),Vigilance,"zone : Serein amont, Romanée (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Courcelles-lès-Montbard (21500),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
